Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00863011


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
863011;1;01/11/2019;1;35,0;164,3;20;16;1;1;1;;0;5,1;10,7;0,0;0,0;0,0;13,1;18,5;0,0;0,0;21,3;0,0;0,7;0,5;3,0;14,7;0,0;0,0;0,0;3,0;35,0;0,0;7,3;3,0;3,2;0,0;0,0;21,3;3,9;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/10/2019;1;27,3;91,7;9;16;1;1;1;;0;0,0;7,0;0,9;0,0;8,7;0,0;0,0;0,0;27,3;2,7;0,0;0,0;5,3;2,7;7,1;0,0;0,0;0,0;0,6;0,0;1,8;0,0;1,0;0,0;0,0;12,0;0,0;11,1;1,5;1,5;0,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/09/2019;1;35,5;87,1;7;8;1;1;1;;0;0,0;0,0;0,0;0,0;3,0;0,0;35,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,2;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;5,5;0,0;1,7;7,3;0,0;0,9;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/08/2019;1;32,7;34,7;21;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,7;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/07/2019;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/06/2019;1;2,5;2,5;1;1;1;1;1;;0;2,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/05/2019;1;73,0;204,9;2;13;1;1;1;;0;6,0;73,0;30,7;1,7;2,3;0,0;0,0;0,0;0,0;0,0;23,5;24,3;1,7;5,5;0,0;0,0;0,0;0,0;1,5;8,5;0,0;0,0;0,0;0,0;21,7;0,0;0,0;0,0;0,0;4,5;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/04/2019;1;1,1;1,1;30;;1;1;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0;0,0;1,1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;0;
863011;1;01/08/2018;1;52,6;71,8;14;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;52,6;0,0;0,0;0,0;0,0;0,0;4,1;2,8;0,0;0,0;3,1;0,0;9,2;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/07/2018;1;5,8;11,2;6;4;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;5,8;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;3,4;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/06/2018;1;10,9;19,3;3;3;1;1;1;;0;4,3;4,1;10,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/05/2018;1;20,4;83,1;14;11;1;1;1;;0;0,0;0,0;10,0;18,0;0,1;3,1;1,3;0,9;0,0;0,0;0,0;4,1;0,0;20,4;14,0;0,0;0,0;0,0;0,0;7,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/04/2018;1;;311,7;;;0;1;0;;0;;;54,4;5,5;28,1;0,0;7,7;0,0;0,0;8,3;3,0;40,0;0,0;0,0;22,9;31,7;0,0;1,5;5,0;0,0;20,0;0,0;0,0;0,0;27,7;2,5;0,0;9,0;40,8;3,6;;0;0;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/03/2018;1;78,5;296,1;26;12;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;20,0;0,0;0,0;9,2;59,5;0,5;0,0;9,0;0,0;47,0;21,7;0,0;0,0;0,0;0,0;0,0;32,5;0,0;7,7;3,7;78,5;0,0;0,0;0,0;6,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/02/2018;1;9,9;149,2;4;20;1;1;1;;0;4,6;8,3;0,0;9,9;8,4;7,8;9,9;0,0;9,9;7,0;0,0;6,9;0,0;9,9;7,5;1,3;9,9;0,0;0,0;0,0;2,6;9,9;8,9;7,8;4,3;9,9;4,5;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
863011;1;01/01/2018;1;18,7;118,4;21;18;1;1;1;;0;2,9;6,5;0,0;8,7;4,8;6,5;10,1;0,2;0,0;0,0;16,9;0,0;0,0;0,0;16,8;0,0;0,0;0,0;0,0;0,0;18,7;1,6;0,8;5,5;4,8;2,2;0,0;0,0;8,6;0,5;2,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/11/2017;1;2,0;22,0;2;11;3;3;3;;0;0,0;2,0;2,0;2,0;2,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;2,0;2,0;0,0;0,0;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;
863011;1;01/10/2017;1;2,0;30,4;2;17;3;3;3;;0;0,0;2,0;2,0;2,0;0,0;0,0;1,7;1,9;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,0;0,0;2,0;0,0;0,0;2,0;1,7;0,0;2,0;0,7;2,0;1,7;2,0;2,0;0,0;1,7;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
863011;1;01/09/2017;1;2,7;24,8;6;11;3;3;3;;0;2,0;2,0;0,0;2,0;2,0;2,7;2,7;0,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;2,7;2,7;0,0;0,0;0,0;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;
863011;1;01/08/2017;1;7,0;70,5;15;21;3;3;3;;0;0,0;0,0;0,0;2,0;2,0;2,0;0,0;0,0;0,0;2,0;0,0;2,0;2,0;0,0;7,0;2,0;0,0;0,0;2,0;7,0;7,0;2,0;2,0;7,0;2,0;7,0;2,0;7,0;2,0;2,0;0,5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
863011;1;01/06/2017;1;3,0;16,5;13;8;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;1,0;2,0;3,0;0,0;2,5;0,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;
863011;1;01/09/2016;1;2,0;14,0;1;7;1;1;1;;0;2,0;2,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;2,0;0,0;2,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/08/2016;1;2,0;16,0;1;8;1;1;1;;0;2,0;2,0;2,0;2,0;0,0;2,0;0,0;2,0;0,0;2,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/07/2016;1;2,0;4,0;13;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/06/2016;1;2,0;2,0;7;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/12/2015;1;60,2;232,6;18;6;1;1;1;;0;0,0;0,0;0,0;40,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;60,2;0,0;0,0;6,0;6,0;0,0;0,0;0,0;60,0;60,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/11/2015;1;60,1;184,2;7;4;1;1;1;;0;59,2;59,9;0,0;0,0;0,0;0,0;60,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/10/2015;1;21,7;45,6;17;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;12,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,7;0,0;11,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/09/2015;1;105,3;161,2;5;6;1;1;1;;0;0,0;0,0;0,0;33,9;105,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;3,1;0,0;4,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
863011;1;01/08/2015;1;32,2;47,6;1;5;1;1;1;;0;32,2;0,0;1,5;0,0;0,0;1,8;2,2;9,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
863011;1;01/07/2015;1;;;;;0;0;0;;0;;;;;;;;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
